en,fr
Total, Total
Order, Commande
Sku, SKU
Continue to shipping, Continuer vers l'expédition
Continue shopping, Continuer vos achats
Continue Shopping, Continuer vos achats
CONTINUE SHOPPING, CONTINUER VOS ACHATS
Shopping cart, Panier d'achat
Product, Produit
Price, Prix
Quantity, Quantité
Remove, Supprimer
Qty, Qté
Sub total, Sous-total
Discount(${coupon}), Remise (${coupon})
Order summary, Résumé de la commande
Taxes and shipping calculated at checkout, Taxes et frais de livraison calculés lors du paiement
CHECKOUT, PAYER
Change, Changer
Payment Method, Mode de paiement
Shipping Method, Mode de livraison
No payment methods available, Aucun mode de paiement disponible
Place Order, Passer la commande
My billing address is same as shipping address, Mon adresse de facturation est identique à mon adresse de livraison
${count} items, ${count} articles
Discount, Remise
Shipping, Livraison
No tax, Aucune taxe
Tax, Taxe
Sorry, there is no available method for your address, Désolé, aucun mode de livraison n'est disponible pour votre adresse
Please enter a shipping address in order to see shipping quotes, Veuillez saisir une adresse de livraison pour voir les frais de livraison
Continue to payment, Continuer vers le paiement
No payment method available, Aucun mode de paiement disponible
Ship to, Expédier à
Shipment, Expédition
Thank you ${name}!, Merci ${name} !
Contact information, Informations de contact
Order #${orderNumber}, Commande n°${orderNumber}
ADD TO CART, AJOUTER AU PANIER
Please select variant options, Veuillez sélectionner les options de la variante
VIEW CART (${count}), VOIR LE PANIER (${count})
JUST ADDED TO YOUR CART, VIENT D'ÊTRE AJOUTÉ À VOTRE PANIER
Promotion code?, Code promotionnel ?
Enter coupon code, Entrez le code coupon
Apply, Appliquer
Your cart is empty!, Votre panier est vide !